"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1901868676955123769","Tue Mar 18 18:24:14 +0000 2025","2","@tempodotco Ihsg bangkrut investor kabur lo bego ya @prabowo maling itu urusin jgn halu terus kyk @jokowi ","1902063509703401840","","tempodotco","in","Tangerang","0","0","0","https://x.com/NewsFlash09/status/1902063509703401840","1696883220","NewsFlash09"
"1901964670183018706","Tue Mar 18 18:23:53 +0000 2025","2","@el_avraham tadi ada narasi yg lewat IHSG anjlok gara2 ada yg bikin isu SM mundur setelah ditenangin pak dasco sekarang naik lagi","1902063421715312695","","el_avraham","in","Dresden, Germany","0","1","0","https://x.com/jondhez/status/1902063421715312695","2990543688","jondhez"
"1901924618715471903","Tue Mar 18 18:22:56 +0000 2025","0","@darrylsopacua @wannafigh @RadioElshinta Iya. Bukan dialihkan tp emg 2000an T ilang anjir di ihsg. Kalo ihsg makin anjlok ya ekonomi juga melarat. Bukan pengalihan isu tp emg isunya banyak bgt di konoha ini pusyangggggg","1902063184275792358","","darrylsopacua","in","","0","0","0","https://x.com/asyrofun2/status/1902063184275792358","1285155222793285632","asyrofun2"
"1902063090394710247","Tue Mar 18 18:22:34 +0000 2025","64","Siap beradaptasi atau mau terus jadi korban sistem? Gak bisa tidur karena jam-jam overthinking sama hidup scroll Twitter malah jadi overthinking sama negara Tapi serius kenapa sih kita mesti khawatir IHSG anjlok? IHSG yang anjlok bukan sekadar angka merah. Ini cerminan","1902063090394710247","","","in","Web3","2","10","13","https://x.com/nkskrdwyn/status/1902063090394710247","64058631","nkskrdwyn"
"1902063017111777351","Tue Mar 18 18:22:16 +0000 2025","2","kakeknya pendiri bank bapaknya mantan mentri keuangan anaknya jd presiden malah bkin kebijakan dan gapeduli pas diwanti2 klo tindakannya bkal bkin IHSG anjlok... buah jatoh sejauh-jauhnya dari pohon kh?","1902063017111777351","","","in","my safe yapping zone","0","0","0","https://x.com/mauggiedoggie/status/1902063017111777351","1467064014714785793","mauggiedoggie"
"1902062918835064951","Tue Mar 18 18:21:53 +0000 2025","0","malem malem bacain berita IHSG sambil bacain dongeng..","1902062918835064951","","","in","lawstud ","0","0","0","https://x.com/kidnappvt/status/1902062918835064951","1410888415592149000","kidnappvt"
"1902062867492536745","Tue Mar 18 18:21:40 +0000 2025","0","Menghimbau IHSG good jokes tbh","1902062867492536745","","","in","","0","0","0","https://x.com/xoczm/status/1902062867492536745","1316552405706629120","xoczm"
"1902062721270682082","Tue Mar 18 18:21:06 +0000 2025","0","IHSG turun... udah mau hancur kah ini","1902062721270682082","","","in","(23+)  she / her.  mostly zzz.","0","0","0","https://x.com/avtra/status/1902062721270682082","738337021484240896","avtra"
"1902062712953434222","Tue Mar 18 18:21:04 +0000 2025","0","Jual rumah dekat kampus kota Malang. Potensi besar dijadikan kos2an. Lokasi dekat Suhat kawasan paling hit di kota Malang. Langsung pemilik tanpa perantara. Wa 0895630489088 IHSG Bursa Efek Indonesia Trading Halt Safe Haven Merah Krisis Saham Aset Anjlok Sekuritas https://t.co/00RAfDsE5h","1902062712953434222","https://pbs.twimg.com/media/GmV79Poa8AICV-i.jpg","","in","","0","0","0","https://x.com/Hahohohihi/status/1902062712953434222","1519397997582626816","Hahohohihi"
"1901963084886860268","Tue Mar 18 18:13:16 +0000 2025","4","@sundabird @tanyarlfes IHSG (Indeks Harga Saham Gabungan) yang jeblok bisa berdampak besar pada ekonomi Indonesia terutama dalam hal kepercayaan investor dan stabilitas pasar keuangan. Penurunan ini sering kali memicu keluarnya dana asing (capital outflow) melemahkan nilai tukar rupiah dan","1902060751080321125","","sundabird","in","ask anywhere.","0","0","0","https://x.com/AskPerplexity/status/1902060751080321125","1882198073168080896","AskPerplexity"
